Client payeur,CP,Ville,Adresse 1,Agent commercial,niv. commission,Type client,Agent commercial,CA Loc 2025,CA Vte 2025,CA Loc 2024,CA Vte 2024,EVOLUTION € LOC,EVOLUTION %,EVOLUTION € VTE,EVOLUTION %,PART LOC 2025,PART VTE 2025,PART LOC 2024,PART VTE 2024
PHARMACIE DE L'OPERA,13001,,,,,,PHARMACIE DE L'OPERA,0,0,0.0,446.89,,,,,,,0.0,1.0
PHARMACIE DE SEON,13016,,,,,,PHARMACIE DE SEON,0,0,8492.860000000002,322.9,,,,,,,0.9633724148570288,0.036627585142971215
PHARMACIE DES AYGALADES,13015,,,,,,PHARMACIE DES AYGALADES,0,0,0.0,35.29,,,,,,,0.0,1.0
PHARMACIE DES MINIMES EURL,13006,,,,,,PHARMACIE DES MINIMES EURL,0,0,211.01000000000002,83.11,,,,,,,0.7174282605739155,0.2825717394260846
PHARMACIE DU ROUET BORDE,13008,,,,,,PHARMACIE DU ROUET BORDE,0,0,58.5,230.88,,,,,,,0.20215633423180593,0.7978436657681941
PHARMACIE PARC DES AMANDIERS,13170,,,,,,PHARMACIE PARC DES AMANDIERS,0,0,299.59999999999997,2.9,,,,,,,0.990413223140496,0.009586776859504135
PHARMACIE PIERI-ARTINIAN,13005,,,,,,PHARMACIE PIERI-ARTINIAN,0,0,93.6,0.0,,,,,,,1.0,0.0
PHARMACIE PLACE DE ROME,13006,,,,,,PHARMACIE PLACE DE ROME,0,0,3116.3899999999985,5171.54,,,,,,,0.376015482756249,0.6239845172437509
PHARMACIE SAINT ANDRE,13016,,,,,,PHARMACIE SAINT ANDRE,0,0,430.12,202.37,,,,,,,0.6800423722114184,0.31995762778858167
PHARMACIE TONDA-HABOT,13012,,,,,,PHARMACIE TONDA-HABOT,0,0,0.0,28.07,,,,,,,0.0,1.0
PHARMACIE VIARENGO-LEBLOND,13005,,,,,,PHARMACIE VIARENGO-LEBLOND,0,0,15.9,15.9,,,,,,,0.5,0.5
