Client payeur,CP,Ville,Adresse 1,Type client,CA Loc 2025,CA Vte 2025,CA Loc 2024,CA Vte 2024,EVOLUTION € LOC,EVOLUTION %,EVOLUTION € VTE,EVOLUTION %,PART LOC 2025,PART VTE 2025,PART LOC 2024,PART VTE 2024
PHARMACIE VALLIER / DR KADDOURI  - 8496,13004,MARSEILLE 4EME ARRONDISSE,98 bd boisson,09 - PHARMACIE,370.76,0.0,273.07,0.0,97.69,0.3577470978137474,,,1.0,0.0,1.0,0.0
PHARMACIE DE L OPERA / DR GINESY  - 6905,13001,MARSEILLE 1ER ARRONDISSEM,22 24 RUE BEAUVAU,09 - PHARMACIE,87.67,698.0400000000001,0.0,169.6,,,528.44,3.115801886792453,0.11158060862150157,0.8884193913784985,0.0,1.0
PHARMACIE SAINT JUST / DR MAZIER  - 3471,13013,MARSEILLE 13EME ARRONDISS,38 rue alphonse daudet,09 - PHARMACIE,2654.26,3018.51,2581.35,3142.45,72.91000000000031,0.028244910608790096,-123.9399999999996,-0.03944056389123124,0.46789487322771767,0.5321051267722823,0.4509853593766379,0.5490146406233621
PHARMACIE GENERALE / DR APPAY  - 8769,13012,MARSEILLE,188 AVENUE DE 24 AVRIL 1915,09 - PHARMACIE,157.29,0.0,89.88,274.0,67.41,0.75,-274.0,-1.0,1.0,0.0,0.24700450698032317,0.7529954930196768
PHARMACIE LECAILLET / DR LECAILLET  - 5488,13008,MARSEILLE,604 ave de mazargues,09 - PHARMACIE,59.4,229.24,0.0,933.88,,,-704.64,-0.7545294898702188,0.20579268292682928,0.7942073170731708,0.0,1.0
PHARMACIE 229 PRADO/ DR CHRIQUI-MARUANI  - 6431,13008,MARSEILLE 8EME ARRONDISSE,229 avenue du parado,09 - PHARMACIE,513.1,250.0,463.56,1435.97,49.54000000000002,0.10686858227629653,-1185.97,-0.8259016553270612,0.6723889398506093,0.3276110601493906,0.24403931498844453,0.7559606850115556
PHARMACIE DU COUR JULIEN / DR GELI  - 5298,13006,MARSEILLE 6EME ARRONDISSE,81 cours julien,09 - PHARMACIE,72.0,0.0,27.8,499.7,44.2,1.589928057553957,-499.7,-1.0,1.0,0.0,0.05270142180094787,0.9472985781990522
PHARMACIE DU VIEUX PORT / DR LUCHARD  - 3080,13002,MARSEILLE 2EME ARRONDISSE,4 Quai du port,09 - PHARMACIE,152.9,3208.07,113.39,4968.43,39.510000000000005,0.34844342534615047,-1760.3600000000001,-0.35430910770605606,0.045492819037361236,0.9545071809626388,0.02231287215997418,0.9776871278400258
PHARMACIE DU PARC SAINT CYR / DR HAMAMES  - 10841,13011,MARSEILLE,130. chemin de la valbarelleà st marcel,09 - PHARMACIE,29.96,0.0,0.0,0.0,,,,,1.0,0.0,,
PHARMACIE DU ROUET / DR ASSOR  - 1449,13008,MARSEILLE 8EME ARRONDISSE,145 rue du rouet,09 - PHARMACIE,29.7,659.92,0.0,0.0,,,,,0.04306719642701778,0.9569328035729822,,
PHARMACIE CHUTES LA VIE/DR MARQUIS  - 6855,13004,MARSEILLE,45 AVENUE DES CHUTES LA VIE,09 - PHARMACIE,162.20000000000002,1392.8300000000002,153.0,3325.19,9.200000000000017,0.06013071895424848,-1932.36,-0.5811276949587842,0.10430666932470756,0.8956933306752924,0.04398839626357387,0.9560116037364261
PHARMACIE DE CLARY / DR BENMOUMENE  - 8158,13003,MARSEILLE 3EME ARRONDISSE,11 AVENUE ROGER SALENGRO,09 - PHARMACIE,8.9,3102.23,0.0,620.3000000000001,,,2481.93,4.0011768499113325,0.0028606969171972884,0.9971393030828026,0.0,1.0
PHARMACIE SIGNORET / DR SIGNORET GUILLAUME  - 7964,13400,AUBAGNE,CENTRE COMMERCIAL AUCHAN AUBAGNE,09 - PHARMACIE,0.0,4471.0,0.0,1974.4,,,2496.6,1.2644854132901133,0.0,1.0,0.0,1.0
PHARMACIE SAINT BARNABE / DR RAYNAL AGOPIAN  - 2801,13012,MARSEILLE 12EME ARRONDISS,123 av saint julien,09 - PHARMACIE,0.0,3245.74,0.0,1562.16,,,1683.5799999999997,1.0777257131151736,0.0,1.0,0.0,1.0
PHARMACIE PRINCIPALE / DR DUBOIS  - 9445,13110,PORT DE BOUC,5 RUE CHARLES NEDELEC,09 - PHARMACIE,0.0,1512.96,0.0,0.0,,,,,0.0,1.0,,
PHARMACIE DU PASSAGE / DR DOUSSET  - 83,,,,,0.0,0.0,0.0,-1099.0,,,1099.0,-1.0,,,-0.0,1.0
PHARMACIE MICHELET / DR SAYAG  - 1494,13009,MARSEILLE 9EME ARRONDISSE,127 bd michelet,09 - PHARMACIE,0.0,1024.1000000000001,0.0,732.0400000000001,,,292.06000000000006,0.3989672695481122,0.0,1.0,0.0,1.0
PHARMACIE FALCONE AYDJIAN  - 10079,13140,MIRAMAS,PHARMACIE DES VENTS PROVENCAUX,09 - PHARMACIE,0.0,577.83,0.0,0.0,,,,,0.0,1.0,,
PHARMACIE BELSUNCE / DR TRAN  - 9942,13001,MARSEILLE 1ER ARRONDISSEM,10 COURS BELSUNCE,09 - PHARMACIE,0.0,549.1800000000001,0.0,0.0,,,,,0.0,1.0,,
PHARMACIE DU VILLAGE / DR CAYSSIALS  - 9437,13180,GIGNAC LA NERTHE,130 RUE DE L'ANCIENNE METEO,09 - PHARMACIE,0.0,422.56,0.0,0.0,,,,,0.0,1.0,,
PHARMACIE DE LA VISTE / DR COUPUT  - 6952,13015,MARSEILLE 15EME ARRONDISS,40 AVENUE DE LA VISTE,09 - PHARMACIE,0.0,364.4,0.0,746.9,,,-382.5,-0.5121167492301513,0.0,1.0,0.0,1.0
PHARMACIE DU PARC DROMEL / DR MEIMOUN  - 5585,13009,MARSEILLE 9EME ARRONDISSE,19 Bd de Sainte marguerite,09 - PHARMACIE,0.0,4068.61,0.0,3704.57,,,364.03999999999996,0.09826781515803452,0.0,1.0,0.0,1.0
PHARMACIE LEV / DR ATTIAS  - 6908,13001,MARSEILLE 1ER ARRONDISSEM,29 RUE LONGUE DES CAPUCINS,09 - PHARMACIE,0.0,212.3,0.0,0.0,,,,,0.0,1.0,,
PHARMACIE HAC CHENG / DR HAC  - 9454,13240,SEPTEMES LES VALLONS,6 AVENUE DU 8 MAI 1945,09 - PHARMACIE,0.0,207.0,0.0,395.81,,,-188.81,-0.47702180339051564,0.0,1.0,0.0,1.0
PHARMACIE DE LA CRAU / DR MORINEAU  - 10092,13140,MIRAMAS,BOULEVARD DOCTEUR JACQUES MINET,09 - PHARMACIE,0.0,82.0,0.0,0.0,,,,,0.0,1.0,,
PHARMACIE DU METRO SAINT BARNABE / DR ANDRE  - 9610,13012,MARSEILLE,53 BOULEVARD GASSENDI,09 - PHARMACIE,0.0,17.900000000000002,0.0,0.0,,,,,0.0,1.0,,
PHARMACIE DU GRAND SAINT GINIEZ/ DR ZURECKI  - 7591,13008,MARSEILLE,123 AVENUE DE MAZARGUES,09 - PHARMACIE,0.0,841.4000000000001,0.0,848.02,,,-6.619999999999891,-0.007806419659913553,0.0,1.0,0.0,1.0
PHARMACIE BERNABO / DR CTORZA  - 5836,,,,,0.0,0.0,0.0,24.5,,,-24.5,-1.0,,,0.0,1.0
PHARMACIE GALERIE / DR BASTIA JEAN DAMIEN ET CHRIS  - 7372,13010,MARSEILLE,57 BOULEVARD ROMAIN ROLLAND,09 - PHARMACIE,0.0,525.5,0.0,571.57,,,-46.07000000000005,-0.08060255086866008,0.0,1.0,0.0,1.0
PHARMACIE NAHABEDIAN  - 1234,,,,,0.0,0.0,0.0,59.0,,,-59.0,-1.0,,,0.0,1.0
PHARMACIE DE VIENNE / DR HUBERT  - 4940,13010,MARSEILLE,268 BD DE SAINT LOUP,09 - PHARMACIE,0.0,29.700000000000003,0.0,96.0,,,-66.3,-0.6906249999999999,0.0,1.0,0.0,1.0
PHARMACIE LA CROIX BLANCHE / DR CHARRUEY-PANAGET  - 414,,,,,0.0,0.0,0.0,86.0,,,-86.0,-1.0,,,0.0,1.0
PHARMACIE DE SAINT MENET / DR MONACO STEPHANE  - 7176,,,,,0.0,0.0,0.0,125.7,,,-125.7,-1.0,,,0.0,1.0
PHARMACIE SUDRE / DR SUDRE  - 7521,,,,,0.0,0.0,0.0,162.48,,,-162.48,-1.0,,,0.0,1.0
PHARMACIE LA ROYA / DR DURIF XAVIER  - 6736,,,,,0.0,0.0,0.0,205.44,,,-205.44,-1.0,,,0.0,1.0
PHARMACIE DES MARTEGAUX / DR DEMAGNY  - 8768,,,,,0.0,0.0,0.0,246.0,,,-246.0,-1.0,,,0.0,1.0
PHARMACIE PARADIS DELIBES / DR SERRI  - 542,13008,MARSEILLE 8EME ARRONDISSE,335 rue paradis,09 - PHARMACIE,0.0,535.57,0.0,787.02,,,-251.44999999999993,-0.3194963279205102,0.0,1.0,0.0,1.0
PHARMACIE LA MARTEGALE / DR SARKISSIAN-MAIMOUN  - 7297,13500,MARTIGUES,9 BOULEVARD LUCIEN DEGUT,09 - PHARMACIE,0.0,475.0,0.0,728.6,,,-253.60000000000002,-0.34806478177326383,0.0,1.0,0.0,1.0
PHARMACIE CAZENAVE / DR CAZENAVE  - 6846,13014,MARSEILLE 14EME ARRONDISS,255 BOULEVARD DANIELLE CASANOVA,09 - PHARMACIE,0.0,2393.52,0.0,2655.04,,,-261.52,-0.09849945763528986,0.0,1.0,0.0,1.0
PHARMACIE DES OLIVIERS / DR NICOLAÏ DR MAILLART  - 7429,,,,,0.0,0.0,0.0,276.0,,,-276.0,-1.0,,,0.0,1.0
PHARMACIE SENIOR / DR SENIOR  - 9142,,,,,0.0,0.0,0.0,280.0,,,-280.0,-1.0,,,0.0,1.0
PHARMACIE BOREL ABAT  - 4163,13015,MARSEILLE 15EME ARRONDISS,188 Rue de Lyon,09 - PHARMACIE,0.0,374.57,0.0,671.22,,,-296.65000000000003,-0.4419564375316588,0.0,1.0,0.0,1.0
PHARMACIE BRINK / DR BRINK SOLANGE  - 4731,,,,,0.0,0.0,0.0,348.6,,,-348.6,-1.0,,,0.0,1.0
PHARMACIE DE L'ARCHE / DR POURCIN-ARNAL  - 5984,,,,,0.0,0.0,0.0,350.92,,,-350.92,-1.0,,,0.0,1.0
PHARMACIE SAINT THYS / DR AMMAR  - 7152,13010,MARSEILLE,1 SQUARE NOTRE DAME D AFRIQUE,09 - PHARMACIE,0.0,707.0,0.0,1072.54,,,-365.53999999999996,-0.3408171257016055,0.0,1.0,0.0,1.0
PHARMACIE DU JARDIN / DR BARKAT  - 893,13004,MARSEILLE 4EME ARRONDISSE,67 avenue des chartreux,09 - PHARMACIE,0.0,454.42,0.0,839.9,,,-385.47999999999996,-0.4589593999285629,0.0,1.0,0.0,1.0
PHARMACIE CHEVILLON / DR CHATEL  - 7438,,,,,0.0,0.0,0.0,393.07,,,-393.07,-1.0,,,0.0,1.0
PHARMACIE DE BEAUMONT/ DR BRESSAC/DURAND  - 5673,13012,MARSEILLE 12EME ARRONDISS,108 BOULEVARD DE BEAUMONT,09 - PHARMACIE,0.0,71.76,0.0,489.22,,,-417.46000000000004,-0.8533175258574874,0.0,1.0,0.0,1.0
PHARMACIE PARENT / DR PARENT  - 7683,,,,,0.0,0.0,0.0,489.7,,,-489.7,-1.0,,,0.0,1.0
PHARMACIE DU SOLEIL / DR CHIOCCA  - 1094,,,,,0.0,0.0,0.0,515.0,,,-515.0,-1.0,,,0.0,1.0
PHARMACIE DU CLOS / DR MINASSIAN ET DR FRAYSSINET  - 7385,13220,CHATEAUNEUF LES MARTIGUES,18 RUE JULES FERRY,09 - PHARMACIE,0.0,224.5,0.0,800.54,,,-576.04,-0.7195642941014815,0.0,1.0,0.0,1.0
PHARMACIE DES 2 PLACES / DR POULOS  - 5191,13003,MARSEILLE 3EME ARRONDISSE,117 rue belle de mai,09 - PHARMACIE,0.0,763.84,0.0,1409.75,,,-645.91,-0.4581734350062068,0.0,1.0,0.0,1.0
PHARMACIE CASANOVA / DR CASANOVA MARTIN  - 7038,13003,MARSEILLE 3EME ARRONDISSE,418 boulevard national,09 - PHARMACIE,0.0,1271.2,0.0,1920.02,,,-648.8199999999999,-0.33792356329621565,0.0,1.0,0.0,1.0
PHARMACIE HOMEOPATHIQUE DE LA CANEBIERE DR BEN SLIMANE WALID - 7397,,,,,0.0,0.0,0.0,683.84,,,-683.84,-1.0,,,0.0,1.0
PHARMACIE DE LA GROGNARDE / DR MASSARELLI  - 6899,,,,,0.0,0.0,0.0,753.58,,,-753.58,-1.0,,,0.0,1.0
PHARMACIE VALENTINE VILLAGE / DR D'ANDREA  - 6068,13011,MARSEILLE,17 rue de l'audience,09 - PHARMACIE,0.0,383.20000000000005,0.0,1165.7,,,-782.5,-0.6712704812558977,0.0,1.0,0.0,1.0
PHARMACIE DU MARCHE / DR THERY VINCENT  - 6988,13001,MARSEILLE 1ER ARRONDISSEM,98 RUE SAINT SAVOURNIN,09 - PHARMACIE,0.0,1102.5,0.0,1973.09,,,-870.5899999999999,-0.44123177351261217,0.0,1.0,0.0,1.0
PHARMACIE SEVIGNE / DR MORONI  - 5766,13009,MARSEILLE 9EME ARRONDISSE,rue rabutin Chantal,09 - PHARMACIE,0.0,387.0,0.0,1346.1,,,-959.0999999999999,-0.7125027858257187,0.0,1.0,0.0,1.0
PHARMACIE DE LA CORNICHE/DR RODOSSIO/MARC/VIRGINIE  - 5672,13007,MARSEILLE 7EME ARRONDISSE,132 corniche J F  Kennedy,09 - PHARMACIE,0.0,950.0,0.0,2305.2200000000003,,,-1355.2200000000003,-0.5878918281118506,0.0,1.0,0.0,1.0
PHARMACIE SAKAKINI / DR MAULEAON  - 7142,13005,MARSEILLE 5EME ARRONDISSE,41 BOULEVARD JEANNE D ARC,09 - PHARMACIE,0.0,625.6,0.0,2554.75,,,-1929.15,-0.7551228104511205,0.0,1.0,0.0,1.0
PHARMACIE CAILLAC  - 2575,,,,,0.0,0.0,0.0,2522.42,,,-2522.42,-1.0,,,0.0,1.0
PHARMACIE DU BOULEVARD / DR LAYET VALENTIN  - 7161,13010,MARSEILLE,253 BOULEVARD ROMAIN ROLLAND,09 - PHARMACIE,0.0,268.3,0.0,3003.87,,,-2735.5699999999997,-0.9106818870323948,0.0,1.0,0.0,1.0
PHARMACIE DE LA VERDIERE / DR CAMMELLINI  - 1407,13013,MARSEILLE 13EME ARRONDISS,42 avenue de la Rose,09 - PHARMACIE,0.0,1108.7,0.0,4132.84,,,-3024.1400000000003,-0.7317341102002498,0.0,1.0,0.0,1.0
PHARMACIE DE LA CADIERE / DR SALVO DANIELLE  - 6739,13700,MARIGNANE,15 AVENUE DE LATTRE DE TASSIGNY,09 - PHARMACIE,367.01,0.0,389.48,0.0,-22.470000000000027,-0.05769230769230776,,,1.0,0.0,1.0,0.0
PHARMACIE DEGHILAGE-LAURENT  - 606,13007,MARSEILLE 7EME ARRONDISSE,45 avenue de la corse,09 - PHARMACIE,5333.02,4631.83,5365.05,6210.91,-32.029999999999745,-0.005970121434096559,-1579.08,-0.25424293702533124,0.5351831688384673,0.4648168311615328,0.46346480119143474,0.5365351988085654
PHARMACIE DU ROY D'ESPAGNE / DR DEMAGNY  - 177,13008,MARSEILLE 8EME ARRONDISSE,6 Bd velasquez,09 - PHARMACIE,7435.78,9775.57,7507.27,12941.909999999994,-71.49000000000069,-0.009522769262328475,-3166.3399999999947,-0.2446578596204112,0.432027702649705,0.5679722973502951,0.3671183881211864,0.6328816118788136
PHARMACIE CALCAGNI  - 1003,,,,,0.0,0.0,40.0,0.0,-40.0,-1.0,,,,,1.0,0.0
PHARMACIE DU CHAPITRE / DR CUVILLIER-CERMOLACCE  - 929,13001,MARSEILLE 1ER ARRONDISSEM,10 square Satlingrad,09 - PHARMACIE,761.11,1647.37,801.97,160.4,-40.860000000000014,-0.05094953676571445,1486.9699999999998,9.270386533665834,0.3160125888527204,0.6839874111472796,0.8333281378264078,0.16667186217359228
PHARMACIE DESRUELLES  - 952,13010,MARSEILLE 10EME ARRONDISS,106 avenue de la capelette,09 - PHARMACIE,24.57,4724.4800000000005,66.0,6146.5,-41.43,-0.6277272727272727,-1422.0199999999995,-0.23135442935003653,0.0051736663122098105,0.9948263336877903,0.01062374245472837,0.9893762575452716
PHARMACIE DES ECOLES / DR COSSO VICTORIA  - 7437,,,,,0.0,0.0,54.0,319.52,-54.0,-1.0,-319.52,-1.0,,,0.14457057185692868,0.8554294281430713
