Facture N°,Date,Bénéficiaire,Article,Libellé article,Référence,Qté,PU net HT,Total HT,Total TTC,Rem.HT,Rem.%,Code TVA,Px revient HT,Famille
20521.0,2025-12-31 00:00:00,ZITOUNI RANIA - 11264,76.0,FORFAIT LIVRAISON LIT 90 CM OU ENFANT ET ACCESSOIRES,,1.0,196.46,196.46,235.75,0.0,0.0,2.0,0.0,103.0
20368.0,2025-12-31 00:00:00,SAJ ASSOCIATION - 10346,1246.0,GANT DE TOILETTE JETABLE 70GR X50 HEXA,HEX101173,100.0,1.5,150.0,180.0,0.0,0.0,2.0,0.83,605.0
20368.0,2025-12-31 00:00:00,SAJ ASSOCIATION - 10346,330.0,COUVRE CHAUSSURE POLYETHYLENE  BLEU S/100 C/20,161104X,4.0,3.99,15.96,19.15,0.0,0.0,2.0,1.4,703.0
20367.0,2025-12-31 00:00:00,RESPI.DOM HAD - 9843,2344.0,VERTICALISATEUR ELECTRIQUE ALBATROS 2,ALBATROS2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,104.0
20366.0,2025-12-31 00:00:00,PHARMACIE ZABOTTO / DR ZABOTTO - 6946,44.0,CANNE ALU REGLABLE POIGNÉE T NOIRE C/20,251102.0,4.0,6.5,26.0,28.6,0.0,0.0,5.0,4.16,207.0
20366.0,2025-12-31 00:00:00,PHARMACIE ZABOTTO / DR ZABOTTO - 6946,40.0,CANNE ANGLAISE ANODISE REGLABLE C/20,200000S,20.0,6.2,124.0,136.4,0.0,0.0,5.0,4.29,207.0
20366.0,2025-12-31 00:00:00,PHARMACIE ZABOTTO / DR ZABOTTO - 6946,880.0,CANNE ANGLAISE ENFANT TIKI ROUGE / BLEUE,200523.0,20.0,11.2,224.0,246.4,0.0,0.0,5.0,7.24,207.0
20366.0,2025-12-31 00:00:00,PHARMACIE ZABOTTO / DR ZABOTTO - 6946,43.0,CANNE TRIPODE EPOXY GRIS,251112.0,1.0,12.9,12.9,14.19,0.0,0.0,5.0,7.42,207.0
20366.0,2025-12-31 00:00:00,PHARMACIE ZABOTTO / DR ZABOTTO - 6946,43.0,CANNE TRIPODE EPOXY GRIS,251112.0,1.0,12.9,12.9,14.19,0.0,0.0,5.0,7.42,207.0
20366.0,2025-12-31 00:00:00,PHARMACIE ZABOTTO / DR ZABOTTO - 6946,336.0,CHAMP STERILE 75 X 90 CM B/50,161602.0,1.0,27.0,27.0,32.4,0.0,0.0,2.0,17.34,407.0
20366.0,2025-12-31 00:00:00,PHARMACIE ZABOTTO / DR ZABOTTO - 6946,4165.0,CHAMP STERILE 75 X 90 CM B/50,MEDES15221CE40,1.0,34.7,34.7,41.64,0.0,0.0,2.0,20.41,407.0
20366.0,2025-12-31 00:00:00,PHARMACIE ZABOTTO / DR ZABOTTO - 6946,2275.0,CHAMP CHIRURGIE STANDARD TROUE 50X75 B/50,MEDL12013B,1.0,36.1,36.1,43.32,0.0,0.0,2.0,21.19,407.0
20366.0,2025-12-31 00:00:00,PHARMACIE ZABOTTO / DR ZABOTTO - 6946,577.0,AIGUILLE ACIER INOXYDABLE STERILE VERTE 21G 40MM B/100,101306.0,1.0,1.99,1.99,2.39,0.0,0.0,2.0,1.13,501.0
20366.0,2025-12-31 00:00:00,PHARMACIE ZABOTTO / DR ZABOTTO - 6946,1159.0,SERINGUE 3 PIECES TERUMO 10ML+AIG38 X0.8 21G,TERMDSS10S2138E,1.0,16.9,16.9,20.28,0.0,0.0,2.0,8.0,502.0
20366.0,2025-12-31 00:00:00,PHARMACIE ZABOTTO / DR ZABOTTO - 6946,334.0,MASQUE TYPE IIR ADULTE BLEU: EN 14683 B/50,334.0,20.0,1.9,38.0,45.6,0.0,0.0,2.0,0.94,701.0
20366.0,2025-12-31 00:00:00,PHARMACIE ZABOTTO / DR ZABOTTO - 6946,1105.0,KIT NEBULISEUR PNEUMATIQUE ADULTE HUDSON,41893 (HCS893),1.0,4.5,4.5,5.4,0.0,0.0,2.0,1.36,801.0
20366.0,2025-12-31 00:00:00,PHARMACIE ZABOTTO / DR ZABOTTO - 6946,193.0,ELECTRODES AUTOCOLLANTES CARRÉ 50X50 S/4,281006/I,1.0,3.9,3.9,4.68,0.0,0.0,2.0,1.99,1101.0
20365.0,2025-12-31 00:00:00,PHARMACIE VAUBAN / DR BAQUAI-PETONE - 574,8.0,FORFAIT LIVRAISON ET DESINFECTION MATELAS A AIR,,1.0,10.2,10.2,12.24,0.0,0.0,2.0,0.0,103.0
20365.0,2025-12-31 00:00:00,PHARMACIE VAUBAN / DR BAQUAI-PETONE - 574,8.0,FORFAIT LIVRAISON ET DESINFECTION MATELAS A AIR,,1.0,10.2,10.2,12.24,0.0,0.0,2.0,0.0,103.0
20365.0,2025-12-31 00:00:00,PHARMACIE VAUBAN / DR BAQUAI-PETONE - 574,92.0,FORFAIT LIVRAISON VPH,FLVPH,1.0,20.0,20.0,24.0,0.0,50.0,2.0,0.0,103.0
20365.0,2025-12-31 00:00:00,PHARMACIE VAUBAN / DR BAQUAI-PETONE - 574,92.0,FORFAIT LIVRAISON VPH,FLVPH,1.0,20.0,20.0,24.0,0.0,50.0,2.0,0.0,103.0
20365.0,2025-12-31 00:00:00,PHARMACIE VAUBAN / DR BAQUAI-PETONE - 574,92.0,FORFAIT LIVRAISON VPH,FLVPH,1.0,20.0,20.0,24.0,0.0,50.0,2.0,0.0,103.0
20365.0,2025-12-31 00:00:00,PHARMACIE VAUBAN / DR BAQUAI-PETONE - 574,15.0,COUSSIN N°4 MODULAIRE CIRCULAIRE MB 50X45X10 (VCP 12),VCAR04HB,1.0,29.9,29.9,35.88,0.0,0.0,2.0,20.86,108.0
20365.0,2025-12-31 00:00:00,PHARMACIE VAUBAN / DR BAQUAI-PETONE - 574,127.0,COUSSIN N°4 MODULAIRE CIRCULAIRE FIBRES 55X45X10,410184.0,1.0,29.9,29.9,35.88,0.0,0.0,2.0,21.65,108.0
20365.0,2025-12-31 00:00:00,PHARMACIE VAUBAN / DR BAQUAI-PETONE - 574,412.0,CANNE ANATOMIQUE ALU GAUCHE,251101.0,1.0,8.9,8.9,9.79,0.0,0.0,5.0,5.32,207.0
20365.0,2025-12-31 00:00:00,PHARMACIE VAUBAN / DR BAQUAI-PETONE - 574,1246.0,GANT DE TOILETTE JETABLE 70GR X50 HEXA,HEX101173,20.0,1.5,30.0,36.0,0.0,0.0,2.0,0.83,605.0
20365.0,2025-12-31 00:00:00,PHARMACIE VAUBAN / DR BAQUAI-PETONE - 574,1106.0,BATONNET SOIN DE BOUCHE MOUSSE ETOILE S/10,DIDC105P,2.0,4.4,8.8,10.56,0.0,0.0,2.0,2.384,605.0
20365.0,2025-12-31 00:00:00,PHARMACIE VAUBAN / DR BAQUAI-PETONE - 574,334.0,MASQUE TYPE IIR ADULTE BLEU: EN 14683 B/50,334.0,10.0,2.2,22.0,26.4,0.0,0.0,2.0,0.93,701.0
20365.0,2025-12-31 00:00:00,PHARMACIE VAUBAN / DR BAQUAI-PETONE - 574,334.0,MASQUE TYPE IIR ADULTE BLEU: EN 14683 B/50,334.0,10.0,2.2,22.0,26.4,0.0,0.0,2.0,0.94,701.0
20365.0,2025-12-31 00:00:00,PHARMACIE VAUBAN / DR BAQUAI-PETONE - 574,334.0,MASQUE TYPE IIR ADULTE BLEU: EN 14683 B/50,334.0,20.0,1.9,38.0,45.6,0.0,0.0,2.0,0.94,701.0
20365.0,2025-12-31 00:00:00,PHARMACIE VAUBAN / DR BAQUAI-PETONE - 574,1028.0,AUTO TEST COVID NASAL COMBO B/1 SEJOY,,50.0,2.1,105.0,126.0,0.0,0.0,2.0,1.49,701.0
20365.0,2025-12-31 00:00:00,PHARMACIE VAUBAN / DR BAQUAI-PETONE - 574,1028.0,AUTO TEST COVID NASAL COMBO B/1 SEJOY,,60.0,2.1,126.0,151.2,0.0,0.0,2.0,1.49,701.0
20365.0,2025-12-31 00:00:00,PHARMACIE VAUBAN / DR BAQUAI-PETONE - 574,1918.0,MASQUE FFP2 B/20 EMBALLAGE UNITAIRE,SYLFFP2INTEXTRED,5.0,4.5,22.5,27.0,0.0,0.0,2.0,2.0,701.0
20365.0,2025-12-31 00:00:00,PHARMACIE VAUBAN / DR BAQUAI-PETONE - 574,2145.0,TEST COVID ANTIGENIQUE COMBO 3 EN 1 SEJOY B/25,TESTCOMBO3EN1SEJOY25,1.0,46.5,46.5,55.8,0.0,0.0,2.0,27.25,701.0
20365.0,2025-12-31 00:00:00,PHARMACIE VAUBAN / DR BAQUAI-PETONE - 574,1260.0,KIT NEBULISEUR PNEUMATIQUE BUCCAL HUDSON,41892.0,2.0,4.5,9.0,10.8,0.0,0.0,2.0,1.41,801.0
20365.0,2025-12-31 00:00:00,PHARMACIE VAUBAN / DR BAQUAI-PETONE - 574,2077.0,INSUFFLATEUR U/U (MASQUE ADULTE N°4,810102.0,1.0,48.9,48.9,58.68,0.0,0.0,2.0,32.4,1001.0
20365.0,2025-12-31 00:00:00,PHARMACIE VAUBAN / DR BAQUAI-PETONE - 574,2177.0,MASQUE OXYGENE HAUTE CONCENTRATION PEDIATRIQUE,MED41058S,1.0,3.99,3.99,4.79,0.0,0.0,2.0,1.13,1002.0
20365.0,2025-12-31 00:00:00,PHARMACIE VAUBAN / DR BAQUAI-PETONE - 574,1764.0,MASQUE OXYGENE HAUTE CONCENTRATION ADULTE,MED41007S,1.0,3.99,3.99,4.79,0.0,0.0,2.0,1.54,1002.0
20365.0,2025-12-31 00:00:00,PHARMACIE VAUBAN / DR BAQUAI-PETONE - 574,1950.0,ELECTRODE VITALITENS PACK 50X50 ET 50X90,8703729.0,1.0,4.9,4.9,5.88,0.0,0.0,2.0,3.47,1101.0
20365.0,2025-12-31 00:00:00,PHARMACIE VAUBAN / DR BAQUAI-PETONE - 574,2322.0,EMBOUT CANNE NOIR D19 A 20MM,S25EMB,2.0,1.5,3.0,3.6,0.0,0.0,2.0,1.6,1501.0
20363.0,2025-12-31 00:00:00,PHARMACIE VALENTE / DR VALENTE - 6255,1406.0,BARRE D'APPUI 80CM IZZIE,8001746.0,-1.0,16.63,-16.63,-19.96,0.0,0.0,2.0,7.54,302.0
20363.0,2025-12-31 00:00:00,PHARMACIE VALENTE / DR VALENTE - 6255,1406.0,BARRE D'APPUI 80CM IZZIE,8001746.0,1.0,16.63,16.63,19.96,0.0,0.0,2.0,7.54,302.0
20363.0,2025-12-31 00:00:00,PHARMACIE VALENTE / DR VALENTE - 6255,2033.0,BARRE D'APPUI RAINUREE  FIXER 30CM,815080.0,-1.0,8.5,-8.5,-10.2,0.0,0.0,2.0,5.53,304.0
20363.0,2025-12-31 00:00:00,PHARMACIE VALENTE / DR VALENTE - 6255,2033.0,BARRE D'APPUI RAINUREE  FIXER 30CM,815080.0,1.0,8.5,8.5,10.2,0.0,0.0,2.0,5.53,304.0
20363.0,2025-12-31 00:00:00,PHARMACIE VALENTE / DR VALENTE - 6255,307.0,BARRE D'APPUI RAINUREE  FIXER 60CM,204044.0,2.0,12.2,24.4,29.28,0.0,0.0,2.0,7.55,304.0
20363.0,2025-12-31 00:00:00,PHARMACIE VALENTE / DR VALENTE - 6255,307.0,BARRE D'APPUI RAINUREE  FIXER 60CM,204044.0,1.0,12.2,12.2,14.64,0.0,0.0,2.0,8.51,304.0
20363.0,2025-12-31 00:00:00,PHARMACIE VALENTE / DR VALENTE - 6255,1670.0,ELECTRODE ACTITENS CARRE 50X50MM (X4),SUBSBM1AC003,2.0,4.9,9.8,11.76,0.0,0.0,2.0,3.41,1101.0
20363.0,2025-12-31 00:00:00,PHARMACIE VALENTE / DR VALENTE - 6255,885.0,ELECTRODES AUTOCOLLANTES WIRELESS RECTANGULAIRES 50X90 S/4,101221.0,1.0,4.9,4.9,5.88,0.0,0.0,2.0,3.79,1101.0
20361.0,2025-12-31 00:00:00,PHARMACIE STADE VELODROME/DR TENOUDJI COHEN LUNA - 6758,76.0,FORFAIT LIVRAISON LIT 90 CM OU ENFANT ET ACCESSOIRES,,1.0,129.0,129.0,154.8,0.0,0.0,2.0,0.0,103.0
20361.0,2025-12-31 00:00:00,PHARMACIE STADE VELODROME/DR TENOUDJI COHEN LUNA - 6758,1951.0,MATELAS ALOVA HDG C II 90CM,410061C,1.0,145.0,145.0,174.0,0.0,0.0,2.0,95.0,105.0
20361.0,2025-12-31 00:00:00,PHARMACIE STADE VELODROME/DR TENOUDJI COHEN LUNA - 6758,158.0,COUSSIN N°6 MODULAIRE CYLINDRIQUE FIBRES 70X15,410182.0,1.0,61.5,61.5,73.8,0.0,0.0,2.0,19.2,108.0
20361.0,2025-12-31 00:00:00,PHARMACIE STADE VELODROME/DR TENOUDJI COHEN LUNA - 6758,1105.0,KIT NEBULISEUR PNEUMATIQUE ADULTE HUDSON,41893 (HCS893),1.0,4.5,4.5,5.4,0.0,0.0,2.0,1.36,801.0
20361.0,2025-12-31 00:00:00,PHARMACIE STADE VELODROME/DR TENOUDJI COHEN LUNA - 6758,1211.0,KIT NEBULISEUR PNEUMATIQUE ENFANT HUDSON,41894.0,1.0,4.5,4.5,5.4,0.0,0.0,2.0,1.41,801.0
20361.0,2025-12-31 00:00:00,PHARMACIE STADE VELODROME/DR TENOUDJI COHEN LUNA - 6758,1211.0,KIT NEBULISEUR PNEUMATIQUE ENFANT HUDSON,41894.0,1.0,4.5,4.5,5.4,0.0,0.0,2.0,1.41,801.0
