Famille,Code article,Libellé article,Qté 2024,Qté 2025,C.A HT 2024,C.A HT 2025,PR HT 2024,PR HT 2025,Marge 2024,Marge 2025,Ecart Qté Volume,Ecart Qté %,Ecart C.A Volume,Ecart C.A %,,,,,,,,,,,
1601,1792.0,PILULIER HEBDOMADAIRE 4 CASES,3,6,83.7,167.4,55.98,111.96,27.72,55.44,3,1,83.7,1,,,,,,,,,,,
104,1317.0,BASSIN DE LIT BLANC AVEC POIGNEE,8,29,47.2,171.1,18.1,65.54,29.1,105.56,21,2.625,123.9,2.625,,,,,,,,,,,
301,54.0,GARDE ROBE 3 EN 1 TALIS,28,21,1276.69,972.86,763.2,564.9,513.49,407.96,-7,-0.25,-303.83,-0.2379825956,,,,,,,,,,,
301,722.0,GARDE ROBE DE DOUCHE A ROULETTE MAHINA,3,7,362.66,903,269.7,601.3,92.96,301.7,4,1.333333333,540.34,1.489935477,,,,,,,,,,,
702,227.0,ANIOS SPRAY SURFA'SAFE 750ML,143,110,1454.18,891.34,833.4,654.28,620.78,237.06,-33,-0.2307692308,-562.84,-0.3870497462,,,,,,,,,,,
406,352.0,ALLEVYN G.B HEEL HYDROCELLULAIRE SILICONÉ TALON 23X23.2 B/10,16,14,1043.36,902.62,920.96,792.84,122.4,109.78,-2,-0.125,-140.74,-0.134891121,,,,,,,,,,,
205,37.0,FAUTEUIL TRANSFERT STAN T48,3,14,511.1,2550.75,359.7,1490.5,151.4,1060.25,11,3.666666667,2039.65,3.99070632,,,,,,,,,,,
108,20.0,COUSSIN N°8 MODULAIRE DECLIVE 40X20X9 MB (VCP 05 /06),4,0,121.2,0,83.06,0,38.14,0,-4,-1,-121.2,-1,,,,,,,,,,,
601,377.0,FINEA CHANGE COMPLET MEDIUM OPTIMUM S/20 C/4,58,11,816.14,159.5,519.055,102.645,297.085,56.855,-47,-0.8103448276,-656.64,-0.8045678438,,,,,,,,,,,
602,382.0,FINEA PANTS SMALL SUPER S/14 C/6,44,24,527.3,300,352.088,192.23,175.212,107.77,-20,-0.4545454545,-227.3,-0.4310639105,,,,,,,,,,,
604,332.0,FINEA ALESE SUPER 60X90CM  S/30 C/4,58,41,608.4,449.4,413.18,293.96,195.22,155.44,-17,-0.2931034483,-159,-0.2613412229,,,,,,,,,,,
1102,1862.0,STETHOSCOPE NOIR SIMPLE PAVILLON ADULTE,5,1,40.3,7.5,13.03,2.57,27.27,4.93,-4,-0.8,-32.8,-0.8138957816,,,,,,,,,,,
103,100.0,FORFAIT LIVRAISON ET DESINFECTION LEVE PATIENT,12,23,176.76,338.79,0,0,176.76,338.79,11,0.9166666667,162.03,0.9166666667,,,,,,,,,,,
104,935.0,SANGLE FILET LEVE PATIENT,17,29,278.89,481.15,1018.3,1737.1,-739.41,-1255.95,12,0.7058823529,202.26,0.7252321704,,,,,,,,,,,
203,1982.0,FAUTEUIL TRANSFERT PLIANT BOBBY 48  ,1,0,257,0,0,0,257,0,-1,-1,-257,-1,,,,,,,,,,,
203,1908.0,REPOSE JAMBE FAUTEUIL ROULANT ENFANT / D,1,0,103,0,71.49,0,31.51,0,-1,-1,-103,-1,,,,,,,,,,,
801,1741.0,KIT NEBULISEUR CPS24,2,2,17.8,17.8,10.4,10.4,7.4,7.4,0,0,0,0,,,,,,,,,,,
901,479.0,KIT TETERELLE SIMPLE 24 SMALL,5,2,53.5,23.8,41.6,16.64,11.9,7.16,-3,-0.6,-29.7,-0.5551401869,,,,,,,,,,,
501,1802.0,PLATEAU INOX 350 X 260 X 40 MM,2,0,35.8,0,24.5,0,11.3,0,-2,-1,-35.8,-1,,,,,,,,,,,
502,288.0,SERINGUE 2 PIECES 10ML NON MONTEE BTE/100,9,15,65.5,118.5,36.31,66.61,29.19,51.89,6,0.6666666667,53,0.8091603053,,,,,,,,,,,
503,1456.0,CATHETER BD INSYTE AILETTES 22G BLEU *50,5,8,192.1,311.2,134.65,193.04,57.45,118.16,3,0.6,119.1,0.6199895888,,,,,,,,,,,
503,1358.0,CATHETER BD INSYTE AILETTES 20G ROSE*50,4,2,150.8,77.8,98.4,49.2,52.4,28.6,-2,-0.5,-73,-0.4840848806,,,,,,,,,,,
1101,885.0,ELECTRODES AUTOCOLLANTES WIRELESS RECTANGULAIRES 50X90 S/4,40,36,196,137.2,151.6,136.44,44.4,0.76,-4,-0.1,-58.8,-0.3,,,,,,,,,,,
1102,1245.0,PESE PERSONNE ELECTRONIQUE NOIR 180KG,5,11,92.1,207.9,66.5,130.82,25.6,77.08,6,1.2,115.8,1.25732899,,,,,,,,,,,
1601,1839.0,SET DE SUTURE STERILE,13,6,89.7,41.4,52.78,24.42,36.92,16.98,-7,-0.5384615385,-48.3,-0.5384615385,,,,,,,,,,,
1601,2096.0,SACHET POUR ECRASES COMPRIMES TOOKAN,1,0,21.9,0,13.783,0,8.117,0,-1,-1,-21.9,-1,,,,,,,,,,,
202,311.0,COUSSIN ALOVA GALBÉ CII DECHARGE COCCYGIENNE 43X43,21,18,968.8,934.47,711.27,554.58,257.53,379.89,-3,-0.1428571429,-34.33,-0.03543559042,,,,,,,,,,,
302,112.0,SIEGE DE DOUCHE MURAL EUROMEDIS< 120KG,5,4,209.81,199.6,150.84,121.76,58.97,77.84,-1,-0.2,-10.21,-0.04866307612,,,,,,,,,,,
904,179.0,TIRE LAIT KITTET FISIO,2,2,1167.38,812.5,945.12,1056,222.26,-243.5,0,0,-354.88,-0.3039969847,,,,,,,,,,,
1101,192.0,STIMULATEUR ÉLECTRIQUE PORTABLE TENS ECO 2,22,60,2890.6,7546.85,2153.92,5964.6,736.68,1582.25,38,1.727272727,4656.25,1.610824742,,,,,,,,,,,
108,16.0,COUSSIN N°5 MODULAIRE DEMI-CIRCULAIRE MB (VCP 01),5,2,134.61,73,105.3,40.88,29.31,32.12,-3,-0.6,-61.61,-0.4576925934,,,,,,,,,,,
104,781.0,BAVOIR LAVABLE IMPERMEABLE T.U.,5,0,47.9,0,25.7,0,22.2,0,-5,-1,-47.9,-1,,,,,,,,,,,
1102,1790.0,PESE PERSONNE MECANIQUE BLANC 130KG/100G,1,2,14.9,31.8,9.5,19,5.4,12.8,1,1,16.9,1.134228188,,,,,,,,,,,
201,766.0,FAUTEUIL À POUSSER ELECTRIQUE INNOV SA T13 VELOURS MARRON,7,14,3084.92,6256.36,2970,5756,114.92,500.36,7,1,3171.44,1.028046108,,,,,,,,,,,
202,1078.0,COUSSIN KALLI VISCO MOUSSE CLASSE II 50X45X 8,12,9,465.69,343.57,341.43,256.0725,124.26,87.4975,-3,-0.25,-122.12,-0.2622345337,,,,,,,,,,,
704,483.0,GANT LATEX SS POUDRE T XL 9/10 BTE/100 C/10,10,17,49.6,82.5,27.7,48.14,21.9,34.36,7,0.7,32.9,0.6633064516,,,,,,,,,,,
901,478.0,KIT TETERELLE SIMPLE 26 LARGE,3,1,35.7,11.9,24.96,8.32,10.74,3.58,-2,-0.6666666667,-23.8,-0.6666666667,,,,,,,,,,,
406,355.0,ALLEVYN JELONET 10X10 B/10 C/12,68,72,586.9,596.93,459.68,486.72,127.22,110.21,4,0.05882352941,10.03,0.01708979383,,,,,,,,,,,
1601,1112.0,COQUE OCULAIRE VENTILEE EN PLASTIQUE,9,63,31.25,245.7,4.77,33.39,26.48,212.31,54,6,214.45,6.8624,,,,,,,,,,,
603,1720.0,HEXA MEN PROTECTION LEVEL 3 *14 CT12,0,1,-3.04,3.9,0,2.09,-3.04,1.81,1,,6.94,-2.282894737,,,,,,,,,,,
1201,1511.0,CHAUSSURE HELOISE FEMME NOIR T38(LA PAIRE),0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
1201,1512.0,CHAUSSURE HELOISE FEMME NOIR T39(LA PAIRE),1,1,48.9,48.9,36.04,36.04,12.86,12.86,0,0,0,0,,,,,,,,,,,
1201,1556.0,CHAUSSURE REJILLA BLEU T36 (LA PAIRE),0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
1201,2092.0,CHAUSSURE GARY 39 NOIR LA PAIRE,1,0,36.9,0,24.54,0,12.36,0,-1,-1,-36.9,-1,,,,,,,,,,,
1201,1518.0,CHAUSSURE HELOISE HOMME NOIR T42(LA PAIRE),0,1,0,49.95,0,35.36,0,14.59,1,,49.95,,,,,,,,,,,,
1201,1514.0,CHAUSSURE HELOISE FEMME NOIR T41(LA PAIRE),-1,0,-48.9,0,-36.04,0,-12.86,0,1,-1,48.9,-1,,,,,,,,,,,
1201,1516.0,CHAUSSURE HELOISE HOMME NOIR T40(LA PAIRE),0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
1201,1517.0,CHAUSSURE HELOISE HOMME NOIR T41(LA PAIRE),0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
1201,1519.0,CHAUSSURE HELOISE HOMME NOIR T43(LA PAIRE),0,1,0,49.95,0,38.95,0,11,1,,49.95,,,,,,,,,,,,
502,277.0,SERINGUE 3 PIECES 10ML LUER LOCK  BTE/100,9,2,81.5,19,51.38,11.72,30.12,7.28,-7,-0.7777777778,-62.5,-0.7668711656,,,,,,,,,,,
104,1340.0,URINAL HOMME 1L AVEC BOUCHON ECO SANS LATEX,16,55,66.5,225.48,33.095,124.439,33.405,101.041,39,2.4375,158.98,2.390676692,,,,,,,,,,,
208,2022.0,DEAMBULATEUR PLIANT 2 ROUES,2,5,79.8,199.5,23.74,117.74,56.06,81.76,3,1.5,119.7,1.5,,,,,,,,,,,
207,1365.0,CANNE ANGLAISE ANODISE AGILIAX 130KG,36,0,187.14,0,157.32,0,29.82,0,-36,-1,-187.14,-1,,,,,,,,,,,
1201,1585.0,CHAUSSURE WALLABY DIABETIC. 42 (LA PAIRE),1,1,32.95,32.95,22.36,22.36,10.59,10.59,0,0,0,0,,,,,,,,,,,
104,130.0,APPUI DOS,4,1,99.6,24.9,73.3,19,26.3,5.9,-3,-0.75,-74.7,-0.75,,,,,,,,,,,
502,1209.0,SERINGUE 3 PIECES TERUMO 3ML+AIG38 X0.8 21G,5,17,69.5,236.3,44.3,138.83,25.2,97.47,12,2.4,166.8,2.4,,,,,,,,,,,
104,2113.0,JEU DE ROULETTES VERTICALISATEUR VERTIC HOME,1,0,17.49,0,0,0,17.49,0,-1,-1,-17.49,-1,,,,,,,,,,,
104,152.0,VERTICALISATEUR VERTIC HOME,1,1,299.9,250,215.29,215.29,84.61,34.71,0,0,-49.9,-0.1663887963,,,,,,,,,,,
302,2073.0,CHAISE DE DOUCHE FIXE AVEC ACCOUDOIR AMOVIBLE HIVA,1,5,50.9,254.5,32.9,164.5,18,90,4,4,203.6,4,,,,,,,,,,,
605,1169.0,BATONNET GLYCERINE LEMON SANS SUCRE S/3,116,93,58,46.5,22.04,17.67,35.96,28.83,-23,-0.1982758621,-11.5,-0.1982758621,,,,,,,,,,,
1101,1242.0,ELECTRODE AURICULAIRE NERF VAGUE POUR TENS ECO 2,3,5,74.7,124.5,52.29,86.32,22.41,38.18,2,0.6666666667,49.8,0.6666666667,,,,,,,,,,,
1101,532.0,KIT NERF VAGUE 3DTS,3,2,192.48,142,138,93.82,54.48,48.18,-1,-0.3333333333,-50.48,-0.2622610141,,,,,,,,,,,
207,1120.0,PROTECTION CONFORT CANNE ANGLAISES X2,7,5,55.9,39.5,34.72,24.5,21.18,15,-2,-0.2857142857,-16.4,-0.2933810376,,,,,,,,,,,
406,342.0,ALLEVYN G.B HYDROCELLULAIRE SILICONÉ 12.5X12.5 B/16 C/6,54,30,1632.25,875.76,1406.16,778.464,226.09,97.296,-24,-0.4444444444,-756.49,-0.4634645428,,,,,,,,,,,
104,2095.0,CROCHET PLASTIQUE ARRONDI POCHE A URINE,1,2,2.5,5,1.018,2.036,1.482,2.964,1,1,2.5,1,,,,,,,,,,,
601,1947.0,TENA SLIP PLUS EXTRA SMALL S/30 C/3,39,6,511.65,91.1,436.632,70.08,75.018,21.02,-33,-0.8461538462,-420.55,-0.8219485977,,,,,,,,,,,
601,367.0,TENA FLEX PLUS MEDIUM S/30 C/3,24,16,479.76,367.95,418.86,283.04,60.9,84.91,-8,-0.3333333333,-111.81,-0.233054027,,,,,,,,,,,
601,1373.0,TENA SLIP PROSKIN PLUS LARGE S/30 C/3,18,0,323.82,0,328.86,0,-5.04,0,-18,-1,-323.82,-1,,,,,,,,,,,
601,1369.0,TENA SLIP PROSKIN MAXI LARGE S/24 C/3,72,40,1515.07,1008.55,1322.22,785.2,192.85,223.35,-32,-0.4444444444,-506.52,-0.3343211865,,,,,,,,,,,
602,1371.0,TENA PANTS PROSKIN PLUS MEDIUM S/14 C/4,96,40,1448.05,711.88,1280.74,547.2,167.31,164.68,-56,-0.5833333333,-736.17,-0.5083871413,,,,,,,,,,,
602,1372.0,TENA PANTS PROSKIN PLUS LARGE S/14 C/4,78,60,1233.39,1173.9,1138.86,903.6,94.53,270.3,-18,-0.2307692308,-59.49,-0.04823291903,,,,,,,,,,,
605,1376.0,TENA GANTS WASH GLOVE PROSKIN PLASTIFIÉ /175 C/6,324,228,3488.24,2928.43,3166.62,2252.64,321.62,675.79,-96,-0.2962962963,-559.81,-0.1604849437,,,,,,,,,,,
503,1765.0,MICROPERFUSEUR 19MM 0.7 22G *20 NOIR,1,0,4.9,0,3.33,0,1.57,0,-1,-1,-4.9,-1,,,,,,,,,,,
504,2103.0,BISTOURI STERILE UU N°12 (BTE DE 10),1,1,6.9,6.9,2.41,2.41,4.49,4.49,0,0,0,0,,,,,,,,,,,
1501,1206.0,EMBOUT CANNE  NOIR D19/B45,14,35,21,52.5,13.86,34.65,7.14,17.85,21,1.5,31.5,1.5,,,,,,,,,,,
1601,1058.0,BALLE DEXERCICES DE PRESSION DIAM 6 CM,6,-1,23.4,-3.9,13.92,-2.32,9.48,-1.58,-7,-1.166666667,-27.3,-1.166666667,,,,,,,,,,,
207,791.0,DRAGONNE DE CANNE,13,28,19.5,42,7.34,15.68,12.16,26.32,15,1.153846154,22.5,1.153846154,,,,,,,,,,,
205,1073.0,FAUTEUIL TRANSFERT STAN ULTRA AC. AMOVIBLE T48,2,1,310.88,338.33,307.8,153.9,3.08,184.43,-1,-0.5,27.45,0.08829773546,,,,,,,,,,,
205,1030.0,FAUTEUIL TRANSFERT STAN ULTRA AC. AMOVIBLE T51,4,1,660.78,199,615.6,153.9,45.18,45.1,-3,-0.75,-461.78,-0.6988407639,,,,,,,,,,,
604,405.0,FINEA ALESE SUPER 60X60CM  S/30 C/4,2,6,11.88,43.2,9.26,27.78,2.62,15.42,4,2,31.32,2.636363636,,,,,,,,,,,
1102,2108.0,STETHOSCOPE DOUBLE PAVILLON LITTMANN CLASSIC III CHOCOLAT ET CUIVRE,1,0,88.63,0,87.75,0,0.88,0,-1,-1,-88.63,-1,,,,,,,,,,,
108,2093.0,COUSSIN N°12 TRIANGULAIRE MB 55X25,1,0,77.9,0,41,0,36.9,0,-1,-1,-77.9,-1,,,,,,,,,,,
108,1963.0,COUSSIN N°14 STANDARD SEMI FOWLER MB 70X48,1,3,85,255,49,147,36,108,2,2,170,2,,,,,,,,,,,
1503,606.0,AVOIR TVA 20%,41,1059,3432.08,13903.73,0,0,3432.08,13903.73,1018,24.82926829,10471.65,3.051108949,,,,,,,,,,,
201,699.0,COUSSIN VISCO C II T7 NU,12,31,465,1202.5,263.04,679.52,201.96,522.98,19,1.583333333,737.5,1.586021505,,,,,,,,,,,
109,77.0,OREILLER ERGONOMIQUE MEMOIRE DE FORME CURVE 50X32X10 CM,5,0,199.5,0,142.55,0,56.95,0,-5,-1,-199.5,-1,,,,,,,,,,,
702,1701.0,ANIOSGEL 85 NPC 1L POMPE,13,126,139.36,1304.11,93.47,908.46,45.89,395.65,113,8.692307692,1164.75,8.357850172,,,,,,,,,,,
1601,1657.0,DOIGTIERS ROULES LATEX MOYEN (X100),5,15,12.5,37.5,6.8,17.9,5.7,19.6,10,2,25,2,,,,,,,,,,,
108,29.0,ATTELLE RELEVEUR DE PIED VTA C 41 CM,3,3,298.5,298.5,199.11,208.23,99.39,90.27,0,0,0,0,,,,,,,,,,,
304,2033.0,BARRE D'APPUI RAINUREE  FIXER 30CM,3,12,24.3,102,14.85,64.75,9.45,37.25,9,3,77.7,3.197530864,,,,,,,,,,,
704,1256.0,GANT NITRILE SS POUDRE T L 8/9 NOIR BTE/100 C/10,10,10,42.6,26.4,27.1,22,15.5,4.4,0,0,-16.2,-0.3802816901,,,,,,,,,,,
205,1939.0,FAUTEUIL TRANSFERT STAN ULTRA AC. AMOVIBLE T40,23,1,4713.86,265,3539.7,153.9,1174.16,111.1,-22,-0.9565217391,-4448.86,-0.9437828022,,,,,,,,,,,
202,136.0,COUSSIN VISCO MOUSSE BUTEE PELVIENNE 43X43 2 HOUSSES,4,1,244.5,43.39,144.64,36.16,99.86,7.23,-3,-0.75,-201.11,-0.8225357873,,,,,,,,,,,
302,1183.0,CHAISE DE DOUCHE FIXE MAKEMO AVEC ACCOUDOIR AMOVIBLE DRIVE,5,2,263.2,101.8,160.5,63.8,102.7,38,-3,-0.6,-161.4,-0.6132218845,,,,,,,,,,,
403,246.0,BANDE CREPE COTON 4MX5CM C/50,650,500,241.47,180,149.3,114.08,92.17,65.92,-150,-0.2307692308,-61.47,-0.2545657846,,,,,,,,,,,
1102,991.0,SPIROMETRE TRIFLO 2,16,27,237.4,402.3,72.05,117.18,165.35,285.12,11,0.6875,164.9,0.6946082561,,,,,,,,,,,
1101,933.0,ELECTRODES AUTOCOLLANTES RONDE 32 MM S/4,33,49,115.86,187.1,85.47,126.91,30.39,60.19,16,0.4848484848,71.24,0.6148800276,,,,,,,,,,,
1305,899.0,HUILE DE CBD CICADIOL 20% FRUIT ROUGE D ETE 10 ML,9,0,224.28,0,126,0,98.28,0,-9,-1,-224.28,-1,,,,,,,,,,,
1305,897.0,HUILE DE CBD CICADIOL 20% MENTHE APOTICAIRE 10 ML,6,0,148.68,0,84,0,64.68,0,-6,-1,-148.68,-1,,,,,,,,,,,
1305,898.0,HUILE DE CBD CICADIOL 20% ORANGE EXOTIQUE 10 ML,13,0,327.88,0,182,0,145.88,0,-13,-1,-327.88,-1,,,,,,,,,,,
1305,902.0,HUILE DE CBD CICADIOL 30% FRUIT ROUGE D ETE 10 ML,16,0,485.43,0,264,0,221.43,0,-16,-1,-485.43,-1,,,,,,,,,,,
1305,900.0,HUILE DE CBD CICADIOL 30% MENTHE APOTICAIRE 10 ML,9,0,264.33,0,148.5,0,115.83,0,-9,-1,-264.33,-1,,,,,,,,,,,
301,119.0,REHAUSSE TOILLETTE CONTACT,19,21,532.44,666,419.1,472.5,113.34,193.5,2,0.1052631579,133.56,0.2508451657,,,,,,,,,,,
504,1417.0,BISTOURI STERILE UU N°20 (BTE DE 10),1,2,6.9,13.8,4.14,8.28,2.76,5.52,1,1,6.9,1,,,,,,,,,,,
302,1276.0,EPONGE ANATOMIQUE AVEC MANCHE 57CM,2,1,9.6,4.8,7.2,3.6,2.4,1.2,-1,-0.5,-4.8,-0.5,,,,,,,,,,,
1601,1334.0,CHAUSSE PIED PLASTIQUE 43CM,3,1,11.7,3.9,5.4,1.8,6.3,2.1,-2,-0.6666666667,-7.8,-0.6666666667,,,,,,,,,,,
207,412.0,CANNE ANATOMIQUE ALU GAUCHE,12,3,85.52,26.7,63.72,15.96,21.8,10.74,-9,-0.75,-58.82,-0.6877923293,,,,,,,,,,,
504,2076.0,BISTOURI STERILE UU N°15 (BTE DE 10),1,3,6.9,20.7,2.41,7.23,4.49,13.47,2,2,13.8,2,,,,,,,,,,,
901,1311.0,KIT TIRE LAIT DOUBLE 21MM SYMPHONY MEDELA,11,28,303.05,831.6,259.05,659.4,44,172.2,17,1.545454545,528.55,1.744101633,,,,,,,,,,,
403,249.0,BANDE EXTENSIBLE 4MX5CM C/50,900,700,140.22,103.12,55.71,37.3,84.51,65.82,-200,-0.2222222222,-37.1,-0.2645842248,,,,,,,,,,,
402,244.0,COMPRESSE STERILE NON TISSE 25 SACHETS X2  10X10CM C/12,204,276,362.4,397.2,153,231.96,209.4,165.24,72,0.3529411765,34.8,0.09602649007,,,,,,,,,,,
801,175.0,KIT NEBULISEUR ATOMISOR NL11 ADULTE SONIQUE,4,2,34.94,19,25.52,12.76,9.42,6.24,-2,-0.5,-15.94,-0.4562106468,,,,,,,,,,,
302,56.0,CHAISE DE DOUCHE FIXE AVEC ACCOUDOIR AMOVIBLE EUROMEDIS,14,0,580.55,0,494.7,0,85.85,0,-14,-1,-580.55,-1,,,,,,,,,,,
405,266.0,PANSEMENTS POST OP GRANDE PLAIE X3,226,48,1277.49,284.58,910.78,193.44,366.71,91.14,-178,-0.7876106195,-992.91,-0.7772350468,,,,,,,,,,,
501,1252.0,GARROT A CLIP SANGLE COULEUR BLEU,3,0,11.78,0,7.76,0,4.02,0,-3,-1,-11.78,-1,,,,,,,,,,,
202,777.0,COUSSIN ALOVA GALBÉ CII DECHARGE COCCYGIENNE 50X44,1,0,52.5,0,34.53,0,17.97,0,-1,-1,-52.5,-1,,,,,,,,,,,
503,2069.0,MICROPERFUSEUR 19MM 0.6 23G *20 BLEU,1,1,4.9,4.9,1.72,1.72,3.18,3.18,0,0,0,0,,,,,,,,,,,
901,181.0,KIT TETERELLE DOUBLE 24 SMALL,27,0,539.7,0,452.25,0,87.45,0,-27,-1,-539.7,-1,,,,,,,,,,,
1601,1161.0,DOIGTIERS ROULES LATEX LARGE X100,5,0,11.3,0,7.15,0,4.15,0,-5,-1,-11.3,-1,,,,,,,,,,,
1601,1422.0,BOITE A DENTIER ECO,3,0,9.7,0,4.95,0,4.75,0,-3,-1,-9.7,-1,,,,,,,,,,,
104,726.0,PROTECTION DE BARRIERES DE LIT X1,6,4,174.5,133.25,129,90.59,45.5,42.66,-2,-0.3333333333,-41.25,-0.2363896848,,,,,,,,,,,
202,2063.0,COUSSIN COCCYX DONUT CUSHION,1,1,27.9,27.9,18.03,18.21,9.87,9.69,0,0,0,0,,,,,,,,,,,
205,2084.0,CHAISE DE TRANSFERT D'ESCALIER,1,0,242.9,0,181.69,0,61.21,0,-1,-1,-242.9,-1,,,,,,,,,,,
1101,1676.0,ELECTRODE MULTISITE ACTITENS,9,10,44.1,49,22.32,25,21.78,24,1,0.1111111111,4.9,0.1111111111,,,,,,,,,,,
1201,1484.0,CHAUSSURE ARLEQUIN DIAB BLEU T40(LA PAIRE),0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
1601,1658.0,DOIGTIERS ROULES LATEX SMALL (X100),1,1,2.5,2.5,1.18,1.18,1.32,1.32,0,0,0,0,,,,,,,,,,,
104,1791.0,PIEDS SURELEVATEUR ( JEU DE 4),1,0,10.9,0,7,0,3.9,0,-1,-1,-10.9,-1,,,,,,,,,,,
202,938.0,COUSSIN ROND MOUSSE PERCE,10,0,311,0,208,0,103,0,-10,-1,-311,-1,,,,,,,,,,,
504,1752.0,LAME BISTOURI STERILE UU  N°11 (X100),1,2,10.3,20.68,6.32,12.64,3.98,8.04,1,1,10.38,1.00776699,,,,,,,,,,,
1101,1670.0,ELECTRODE ACTITENS CARRE 50X50MM (X4),10,17,42.25,83.3,25,44.32,17.25,38.98,7,0.7,41.05,0.9715976331,,,,,,,,,,,
1102,1865.0,STETHOSCOPE SIMPLE PAVILLON SPENGLER BLEU M PULSE,3,5,75.5,139,39,65,36.5,74,2,0.6666666667,63.5,0.8410596026,,,,,,,,,,,
1102,1192.0,TENSIOMETRE BRASSARD MANOPOIRE BOUTON POUSSOIR*,3,0,97.7,0,58.56,0,39.14,0,-3,-1,-97.7,-1,,,,,,,,,,,
1601,1325.0,BALLE DE REEDUCATION MEDIUM,3,12,14.7,58.8,8.79,35.1,5.91,23.7,9,3,44.1,3,,,,,,,,,,,
801,2083.0,KIT NEBULISEUR ULTRASONIQUE VENTILE ADULTE,1,3,13.9,41.7,8.2,24.6,5.7,17.1,2,2,27.8,2,,,,,,,,,,,
403,466.0,BANDE DE CONTENTION COHÈSIVE 7 X 3CM BLANC C/10,10,10,35,35,26.3,26.3,8.7,8.7,0,0,0,0,,,,,,,,,,,
403,465.0,BANDE DE CONTENTION COHÈSIVE 7 X 3CM CHAIR C/10,30,60,112,217,78.9,157.8,33.1,59.2,30,1,105,0.9375,,,,,,,,,,,
403,467.0,"BANDE DE CONTENTION COHÈSIVE 10 X 3,5 CM BLANC C/10",10,10,52,52,35.3,35.3,16.7,16.7,0,0,0,0,,,,,,,,,,,
403,468.0,"BANDE DE CONTENTION COHÈSIVE 10 X 3,5 CM CHAIR C/10",10,30,52,162,35.3,105.9,16.7,56.1,20,2,110,2.115384615,,,,,,,,,,,
901,1745.0,KIT MINI TETERELLE SIMPLE 24 LARGE,3,0,49.8,0,45.78,0,4.02,0,-3,-1,-49.8,-1,,,,,,,,,,,
901,1746.0,KIT MINI TETERELLE SIMPLE 26 LARGE,3,2,49.8,33.2,45.78,30.52,4.02,2.68,-1,-0.3333333333,-16.6,-0.3333333333,,,,,,,,,,,
1102,584.0,THERMOMETRE SANS CONTACT FRONTAL / AURIC,11,8,168.5,128,143.79,105.52,24.71,22.48,-3,-0.2727272727,-40.5,-0.2403560831,,,,,,,,,,,
1102,2029.0,ABAISSE LANGUE ENFANT B/250 EUROMEDIS,2,3,7.2,8.03,0,5.25,7.2,2.78,1,0.5,0.83,0.1152777778,,,,,,,,,,,
205,2050.0,DEAMBULATEUR ROLLATOR DE TRANSFERT NEO GLOBAL 4 ROUES,1,0,209.9,0,136,0,73.9,0,-1,-1,-209.9,-1,,,,,,,,,,,
1101,1134.0,ELECTRODE ACTITENS RONDE 50 MM (X4),10,7,49,34.3,34,23.8,15,10.5,-3,-0.3,-14.7,-0.3,,,,,,,,,,,
405,263.0,PANSEMENTS ABSORBANTS STERILES EUROVIT 20X25CM B/10 C/10,40,111,340,943.5,75.6,217.6,264.4,725.9,71,1.775,603.5,1.775,,,,,,,,,,,
502,794.0,SERINGUE 3 PIECES 20ML EXCENTRE LUER BTE/50 C/800,3,6,23.7,47.4,13.11,26.22,10.59,21.18,3,1,23.7,1,,,,,,,,,,,
601,518.0,FINEA CHANGE COMPLET MEDIUM OPTIMUM PLUS  S/20 C/4,6,3,94.2,47.1,60.72,30.36,33.48,16.74,-3,-0.5,-47.1,-0.5,,,,,,,,,,,
603,384.0,FINEA LADY EXTRA S/28 C/12,28,24,164.4,138.4,108.516,93.132,55.884,45.268,-4,-0.1428571429,-26,-0.1581508516,,,,,,,,,,,
1601,1806.0,POIRE VAGINAL 294 ML + CANNULE 140 MM,1,0,7.35,0,5,0,2.35,0,-1,-1,-7.35,-1,,,,,,,,,,,
501,1301.0,AIGUILLE ACIER INOXYDABLE STERILE JAUNE 30G 13MMX0.3 B/100,2,1,19.8,9.9,9.88,4.94,9.92,4.96,-1,-0.5,-9.9,-0.5,,,,,,,,,,,
502,1159.0,SERINGUE 3 PIECES TERUMO 10ML+AIG38 X0.8 21G,2,11,33.8,181.54,18.72,96.16,15.08,85.38,9,4.5,147.74,4.371005917,,,,,,,,,,,
1102,118.0,OXYMETRE DE POULS COLSON,3,2,83.7,55.8,50.1,33.4,33.6,22.4,-1,-0.3333333333,-27.9,-0.3333333333,,,,,,,,,,,
202,779.0,COUSSIN GEL TOP 43 X 45 CM,2,0,140,0,96.56,0,43.44,0,-2,-1,-140,-1,,,,,,,,,,,
207,1022.0,CANNE SIEGE PLIANT 3 PIEDS DRIVE,2,4,39,115.2,33.8,67.6,5.2,47.6,2,1,76.2,1.953846154,,,,,,,,,,,
402,325.0,COMPRESSE NS/ NT  10X10CM  S/100 C/50,847,449,1609.3,853.1,575.96,305.32,1033.34,547.78,-398,-0.4698937426,-756.2,-0.4698937426,,,,,,,,,,,
