Famille,Code article,Libellé article,Qté 2024,Qté 2025,C.A HT 2024,C.A HT 2025,PR HT 2024,PR HT 2025,Marge 2024,Marge 2025,Ecart Qté Volume,Ecart Qté %,Ecart C.A Volume,Ecart C.A %,,,,,,,,,,,
501,646.0,AIGUILLE ACIER INOXYDABLE STERILE NOIR 22G 40MM B/100,11,13,21.89,25.87,13.15,14.3,8.74,11.57,2,0.1818181818,3.98,0.1818181818,,,,,,,,,,,
704,298.0,GANT LATEX SS POUDRE T S 6/7  BTE/100 C/10,176,367,829,1745.7,502.91,1049.35,326.09,696.35,191,1.085227273,916.7,1.105790109,,,,,,,,,,,
1601,1377.0,COUPEUR ET BROYEUR DE COMPRIMES,1,26,3,78,1.81,46.9,1.19,31.1,25,25,75,25,,,,,,,,,,,
403,250.0,BANDE EXTENSIBLE 4MX7CM C/40,840,840,174.69,173.56,60.72,55.148,113.97,118.412,0,0,-1.13,-0.006468601523,,,,,,,,,,,
403,1957.0,BANDE EXTENSIBLE 4MX10CM C/20,180,40,62,20.17,24.192,5.376,37.808,14.794,-140,-0.7777777778,-41.83,-0.6746774194,,,,,,,,,,,
501,2062.0,GARROT TOURNIQUET TACTICAL,2,5,33.8,72.5,8.33,20.825,25.47,51.675,3,1.5,38.7,1.144970414,,,,,,,,,,,
501,274.0,AIGUILLE ACIER INOXYDABLE STERILE ROSE 18G BTE/100,21,28,41.79,55.72,26.43,34.16,15.36,21.56,7,0.3333333333,13.93,0.3333333333,,,,,,,,,,,
502,1158.0,SERINGUE 3 PIECES TERUMO 5ML+AIG38 X0.8 21G,7,19,104.7,302.1,50.68,133.41,54.02,168.69,12,1.714285714,197.4,1.885386819,,,,,,,,,,,
704,415.0,GANT NITRILE SS POUDRE T L 8/9  BTE/100 C/10,285,612,989,2176.45,537.75,1289.38,451.25,887.07,327,1.147368421,1187.45,1.20065723,,,,,,,,,,,
1102,1854.0,SPECULUM AURICULAIRE U.U 0.40MM N (X250),1,3,4.9,14.7,2.82,7.64,2.08,7.06,2,2,9.8,2,,,,,,,,,,,
1102,1282.0,SPECULUM AURICULAIRE U.U 0.25MM N (X250) ENFANT,1,3,4.9,14.7,2.95,8.85,1.95,5.85,2,2,9.8,2,,,,,,,,,,,
1102,2025.0,OTOSCOPE A FIBRE OPTIQUE,4,0,202,0,126,0,76,0,-4,-1,-202,-1,,,,,,,,,,,
402,239.0,COMPRESSE STERILE NON TISSE 10 SACHETS X2  7.5X7.5CM C/40,840,812,548,514.4,210,212,338,302.4,-28,-0.03333333333,-33.6,-0.06131386861,,,,,,,,,,,
402,281.0,COMPRESSE STERILE NON TISSE 10 SACHETS X2 10X10CM C/40,300,260,253.6,210,117,104.4,136.6,105.6,-40,-0.1333333333,-43.6,-0.1719242902,,,,,,,,,,,
703,976.0,COUVRE CHAUSSURE NON TISSÉ BLANC S/100 C/10,198,194,922.72,897.87,584.69,369.869,338.03,528.001,-4,-0.0202020202,-24.85,-0.02693124675,,,,,,,,,,,
901,480.0,KIT TETERELLE DOUBLE 24 LARGE,51,110,1113.82,2593.04,854.25,1842.5,259.57,750.54,59,1.156862745,1479.22,1.328060189,,,,,,,,,,,
1101,883.0,ELECTRODES AUTOCOLLANTES WIRELESS CARRÉ 50X50 S/4,31,105,120.9,401.5,91.45,288.75,29.45,112.75,74,2.387096774,280.6,2.320926385,,,,,,,,,,,
108,23.0,COUSSIN N°9 STANDARD DE POSITIONNEMENT LATERAL MB 30° (VCP 08 ),16,15,1562.33,1467.83,935.76,892.65,626.57,575.18,-1,-0.0625,-94.5,-0.06048658094,,,,,,,,,,,
704,301.0,GANT VINYLE SS POUDRE T S 6/7  BTE/100 C/10,307,313,788.14,837.17,489.89,452.17,298.25,385,6,0.01954397394,49.03,0.06220975969,,,,,,,,,,,
202,1321.0,COUSSIN BOUEE A AIR DIAM 45CM,35,51,484.14,680.38,192.15,279.99,291.99,400.39,16,0.4571428571,196.24,0.4053372991,,,,,,,,,,,
406,353.0,ALLEVYN LIFE SACRUM HYDROCEL SILICONÉ 17.2X17.5 B/10 C/6,77,35,2736.9,1239.89,2396.24,1083.216,340.66,156.674,-42,-0.5454545455,-1497.01,-0.5469728525,,,,,,,,,,,
704,413.0,GANT NITRILE SS POUDRE T S 6/7  BTE/100 C/10,176,265,611.4,913.61,332.6,546.74,278.8,366.87,89,0.5056818182,302.21,0.4942917893,,,,,,,,,,,
901,1148.0,KIT MINI TETERELLE DOUBLE 26 LARGE,8,14,240,420,193.12,337.96,46.88,82.04,6,0.75,180,0.75,,,,,,,,,,,
302,1921.0,CHAISE DE DOUCHE OCEANE AVEC DECOUPE AVANT DRIVE,3,21,85.16,782.64,68.7,480.9,16.46,301.74,18,6,697.48,8.190230155,,,,,,,,,,,
302,270.0,CHAISE DE DOUCHE AVEC DECOUPE AVANT,9,0,356.47,0,259.3,0,97.17,0,-9,-1,-356.47,-1,,,,,,,,,,,
302,2112.0,CHAISE DE DOUCHE / WC ASTON,1,0,386.9,0,228,0,158.9,0,-1,-1,-386.9,-1,,,,,,,,,,,
1102,1336.0,TENSIOMETRE POIGNET ELECTRONIQUE*,38,17,532.2,263.3,380.56,170.68,151.64,92.62,-21,-0.5526315789,-268.9,-0.50526118,,,,,,,,,,,
301,960.0,REHAUSSE TOILLETTE CLIPPERS II SANS COUVERCLE,15,1,298.5,19.9,174.8,12.25,123.7,7.65,-14,-0.9333333333,-278.6,-0.9333333333,,,,,,,,,,,
